,date,headlines,ticker,company
478,2022-11-14,"CESC reports Q2 earnings.

⭕️Net profit down 9% at Rs 305 cr Vs Rs 335 cr (YoY)

⭕️Revenue up 12% at Rs 3,913 cr Vs Rs 3,494 cr (YoY)

⭕️EBIDTA down 46.4% at Rs 490 cr Vs Rs 914 cr (YoY)                                      

⭕️Margin at 12.5% Vs 26.2% (YoY)",CESC,CESC Limited
482,2022-11-14,"NBCC India reports Q2 earnings.

⭕️Net profit up 34.1% at Rs 95.5 cr Vs Rs 71.2 cr (YoY)

⭕️Revenue up 8% at Rs 2,029.7 cr Vs Rs 1,879.7 cr (YoY)

⭕️EBITDA up 74.1% at Rs 88.4 cr Vs Rs 50.8 cr (YoY)

⭕️Margin at 4.4% Vs 2.7% (YoY)",NBCC,NBCC (India) Limited
483,2022-11-14,NBCC India secures total biz of Rs 332 cr in October Vs Rs 162 cr in September,NBCC,NBCC (India) Limited
485,2022-11-14,"BPL reports Q2 earnings.

➡️Net profit down 41.4% at Rs 1.7 cr Vs Rs 2.9 cr (YoY)

➡️Revenue down 50.6% at Rs 11.9 cr Vs Rs 24 cr (YoY)",BPL,BPL Limited
496,2022-11-15,"Our export revenue benefited from the restoration of a new distributor in Saudi. Standing at Rs 2,800 crores worth of inventory currently, Ashish Jain of KRBL to CNBC-TV18",KRBL,KRBL Limited
505,2022-11-15,"ONGC Q2 PAT down 30% at ₹ 12,826 cr; firm declares interim dividend of ₹ 6.75/shr",ONGC,Oil & Natural Gas Corporation Limited
509,2022-11-15,"BEL signs an MoU with Defence PSU Hindustan Shipyard Limited (HSL)

Cos to jointly develop, upgrade products/systems for domestic & Export markets",BEL,Bharat Electronics Limited
517,2022-11-16,"KEC International bags new orders worth ₹1,294 cr across various businesses",KEC,KEC International Limited
521,2022-11-16,UPL says promoter has acquired additional 0.19% stake from Nov 11-14,UPL,UPL Limited
535,2022-11-16,"PTC Fin says board has approved FY23 earnings, co is awaiting independent auditor report & is expected shortly",PTC,PTC India Limited
549,2022-11-17,HDFC Bank ADR down 4.61% in after-hours trade,HDFC,Housing Development Finance Corporation Limited
557,2022-11-17,"NMDC (@nmdclimited) cuts Lump Ore & Fines prices by ₹300/tonne each. Lump ore price is now at ₹3,800 & fines at ₹2,610/tonne",NMDC,NMDC Limited
565,2022-11-17,BEL signs MoU with AWEI to address needs of domestic and export markets,BEL,Bharat Electronics Limited
575,2022-11-18,SPARC gets US FDA nod for SEZABY for the treatment of Neonatal Seizures,SPARC,Sun Pharma Advanced Research Company Limited
579,2022-11-18,BEL signs MoU with IITM Pravartak Technologies Foundation for Distributed Acoustic Sensing,BEL,Bharat Electronics Limited
589,2022-11-18,"HDFC Bank (@HDFC_Bank) signs #MoU with Government of Karnataka

▶️To provide #banking and #financial services to #startups registered with Karnataka Startup Cell",HDFC,Housing Development Finance Corporation Limited
613,2022-11-21,"PVR Large Trade | 0.70 lakh shares (0.1% equity) worth ₹12.28 cr change hands at an average of ₹1,744/sh

#LargeTrade #BlockDeal",PVR,PVR Limited
616,2022-11-21,"Allied Digital bags contract of ₹207.2 cr in JV with KEC from Punjab Municipal Corp, smart city project in Punjab for 3 cities",KEC,KEC International Limited
624,2022-11-21,Adani Group's ₹493-crore open offer for NDTV to start tomorrow,NDTV,New Delhi Television Limited
648,2022-11-22,DCW to double its CPVC capacity by adding another 10KT capacity,DCW,DCW Limited
657,2022-11-23,"ACC promoter #Ambuja Cements releases entire pledge of its 50% equity on November 19, total holding now pledged at 2.16% vs 52.21% earlier",ACC,ACC Limited
660,2022-11-23,TCS extends partnership with Standard Chartered Singapore Marathon,TCS,Tata Consultancy Services Limited
671,2022-11-23,"Quiklyz, vehicle leasing & subscription biz signs MoUs to lease over 1,000 electric 3-wheelers, M&M Fin says",M&M,Mahindra & Mahindra Limited
694,2022-11-24,"ICICI Bank to acquire 10% in a JV of IOC & Chennai Petro for ₹50,000. ICICI Prudential to acquire 9% in a JV of IOC & Chennai Petro for ₹45,000

CNBC-TV18 Alert: IOC & Chennai Petro form JV for 9 mmtpa refinery at Nagapattinam, TN",IOC,Indian Oil Corporation Limited
700,2022-11-24,"PVR opens 12 screen superlex in Thiruvananthapuram, Kerala",PVR,PVR Limited
702,2022-11-24,PNB (@pnbindia) gets #government approval to #divest UTI AMC stake,PNB,Punjab National Bank
709,2022-11-25,"Engineers India bags order from Mangalore Refinery & Petrochemicals for preparation of BDEP, DFR & pre-project activities for bio-ATF plant at MRPL",MRPL,Mangalore Refinery and Petrochemicals Limited
714,2022-11-25,"Yet to hear from @RBI on arms’ treatment post HDFC -HDFC Bank merger. Sought RBI leeway on reserve requirement post-merger

#HDFC Bank to have enough liquidity even sans leeway

Deepak Parekh @HomeLoansByHDFC EGM",HDFC,Housing Development Finance Corporation Limited
716,2022-11-25,"#ITDC at upper circuit on the Ashok Hotel value

Alert: Indian Hotels holds nearly 8% stake in ITDC",ITDC,India Tourism Development Corporation Limited
725,2022-11-25,IRDAI approves merger of Exide Life With HDFC Life,HDFC,Housing Development Finance Corporation Limited
741,2022-11-28,ITC enters into a management contract for hotel owned by Jolle Hospitality,ITC,ITC Limited
762,2022-11-28,#SEBI approves Sundararaman Ramamurthy as MD & CEO of BSE,BSE,BSE Limited
763,2022-11-28,Adani closes in on NDTV takeover as founder entity transfers shares,NDTV,New Delhi Television Limited
767,2022-11-29,TCS & ICICI Bank launch iLens a digital lending solution,TCS,Tata Consultancy Services Limited
785,2022-11-29,"Received bids from #Adani Group & #DLF. Adani Group’s bid was for Rs 5,069 crore, DLF was Rs 2,025 crore. Will now go forward with formal process of approval from competent authorities",DLF,DLF Limited
787,2022-11-29,IDFC says it got SEBI nod for change in control of IDFC Mutual Fund,IDFC,IDFC Limited
788,2022-11-29,SEBI gives its approval for a consortium led by Bandhan Financial Holdings to take over IDFC Ltd's mutual fund operations,IDFC,IDFC Limited
795,2022-11-30,NDTV founders Prannoy Roy and Radhika Roy resign from RRPRH board,NDTV,New Delhi Television Limited
796,2022-11-30,PNB Housing board approves for filing draft of #RightsIssue with #SEBI,PNB,Punjab National Bank
797,2022-11-30,"TCS (@TCS ) gets into a six-year contract with Rail Delivery Group to design, develop, implement & operate UK’s RDM",TCS,Tata Consultancy Services Limited
800,2022-11-30,TCS gets Rail Delivery Group’s project to help create the UK Government’s #Rail data marketplace,TCS,Tata Consultancy Services Limited
805,2022-11-30,"MOIL cuts prices of fines, chemicals by 5% from tomorrow",MOIL,MOIL Limited
815,2022-12-01,Coforge & Tokio Marine HCC expand partnership to drive IT transformation,HCC,Hindustan Construction Company Limited
826,2022-12-01,"SJVN Green Energy signs MoU with Grid Corporation of Odisha for developing 1000 MW Hydro Electric Projects & 2000 MW Solar Power Project

These projects will attract an investment of Rs 20,000 cr",SJVN,SJVN Limited
831,2022-12-02,"PVR opens 3-screen #multiplex in Yamuna Nagar, Haryana 

▶️ Also opens Director’s Luxury Cut #Cinema Auditoriums in Bengaluru",PVR,PVR Limited
832,2022-12-02,MOIL surges nearly 4% in trade after company's November manganese ore production rise by 60% & sales by 82% on a MoM basis,MOIL,MOIL Limited
835,2022-12-02,"HDFC Bank board approves issuance of #NCDs up to Rs 15,000 crore on a private placement basis",HDFC,Housing Development Finance Corporation Limited
843,2022-12-03,"PNB Housing Fin: Paid Rs 3 Lakh fine to BSE and NSE for  not having the requisite number of Independent Directors on the Board as on September 30, 2022",BSE,BSE Limited
855,2022-12-05,"M&M Financial at a 52-week high following November business update, stock up nearly 5%",M&M,Mahindra & Mahindra Limited
860,2022-12-05,HPL Electric & Power bags #orders for supply of #5G electric products to top #telecom companies,HPL,HPL Electric & Power Limited
874,2022-12-05,"IRB Infra Developers: #November gross #toll collection up 6.1% at Rs 365.9 cr Vs Rs 345 cr (MoM)
 
➡️November gross toll #collection up 39.2% at Rs 365.9 cr Vs Rs 262.8 cr (YoY)",IRB,IRB Infrastructure Developers Limited
893,2022-12-06,Centre to allow foreign funds to own over 51% in IDBI Bank,IDBI,IDBI Bank Limited
897,2022-12-06,abrdn Investment Management to sell entire 10.21% stake in HDFC AMC,HDFC,Housing Development Finance Corporation Limited
908,2022-12-07,"CONCOR disinvestment is an independent activity & #government has recently conducted meetings with potential investors, Railway Ministry to #Parliament",CONCOR,Container Corporation of India Limited
909,2022-12-07,CRISIL assigns ‘CRISIL AAA/Stable’ rating to infrastructure #bonds of @AxisBank,CRISIL,CRISIL Limited
910,2022-12-07,"Arun Kumar Singh appointed Chairman of @ONGC_ for 3 years

Alert: Arun Kumar Singh was the Ex-CMD of BPCL",BPCL,Bharat Petroleum Corporation Limited
956,2022-12-10,YESBANK gets @RBI nod for #Carlyle Group & Verventa Holdings investment by in the bank. The bank shall now engage with the investors for the completion of the proposed capital raise,YESBANK,Yes Bank Limited
969,2022-12-12,"LTI Mindtree under pressure
🔴Company expects demand moderation & one-off costs to weigh on H2 performance
🔴Co expects a weaker margin trajectory in H2

#Source: Emkay Report On LTI Mindtree",LTI,Larsen & Toubro Infotech Limited
974,2022-12-12,"M&M November production up 69% YoY & up 9% MoM at 61,140 units",M&M,Mahindra & Mahindra Limited
986,2022-12-12,"Oil marketing cos gain on crude slide, BPCL, HPCL up 3-5%

Aviation stocks rise on increased demand & Crude fall, IndiGo up 3%

PNB rises another 3% today on positive brokerage note",PNB,Punjab National Bank
989,2022-12-12,"#JustIn | KEC International bags orders worth Rs 1,349 cr across is various businesses",KEC,KEC International Limited
997,2022-12-13,TCS ties up with Gujarat Government to impart digital skills in schools,TCS,Tata Consultancy Services Limited
1006,2022-12-13,"Diagnostic stocks slip on Delhi govt’s plan of increased free tests at govt clinics

Oil mktg cos fall as crude rises, HPCL down 2%, BPCL falls 1%

Laurus, Escorts Kubota, Can Fin, Godrej Cons, AU SFB, Biocon are top Midcap losers",BPCL,Bharat Petroleum Corporation Limited
1018,2022-12-14,"M&M (@MahindraRise) says investment of ₹10,000 cr for EVs approved under Maharashtra Govt’s Industrial Promotion Scheme. Co will invest over 7-8 years for setting up EV mfg unit, development, and production of Mahindra’s upcoming Born Electric Vehicles (BEVs",M&M,Mahindra & Mahindra Limited
1027,2022-12-14,"NBCC secures total #business of ₹300.41 crore in November, 2022",NBCC,NBCC (India) Limited
1032,2022-12-14,"Colgate is top Midcap loser as brokerage maintain neutral stance post analyst call

Page Ind, strides, Abbott, HPCL, PNB are top Midcap losers",PNB,Punjab National Bank
1047,2022-12-15,"Fertiliser stocks see a sharp surge, Madras Fert up more than 17%, FACT & Mangalore Chem rise over 8% each",FACT,Fertilizers and Chemicals Travancore Limited
1095,2022-12-17,PSUs hire ICICI Securities to sell stakes in PTC India,PTC,PTC India Limited
1107,2022-12-19,"KEC International bags new orders worth ₹1,313 cr",KEC,KEC International Limited
1109,2022-12-19,"Market closes higher after slipping in last two sessions

Market regains Friday’s losses with Sensex & Nifty rising 1% each

Reliance, HDFC, ITC lift Nifty while IT majors (TCS & Infosys) drag",ITC,ITC Limited
1112,2022-12-19,NBCC India bags construction order worth Rs 69.3 cr from Odisha Power Transmission Corporation (#OPTCL),NBCC,NBCC (India) Limited
1115,2022-12-19,IRB Infra board meeting on Jan 4 to consider stock split,IRB,IRB Infrastructure Developers Limited
1119,2022-12-20,Capacite Infra bags order worth ₹117.2 cr from DLF for mall construction in Goa,DLF,DLF Limited
1126,2022-12-20,Adani Group's VCPL acquires 8.27% stake in NDTV through open offer,NDTV,New Delhi Television Limited
1146,2022-12-21,GAIL & Mitsui OSK Lines sign contract to build a new LNG carrier and sign agreement for joint ownership of an existing LNG carrier,GAIL,GAIL (India) Limited
1185,2022-12-23,"#JustiN | BHEL in licensing agreement with Sumitomo Shi FW, Finland for design, engineering, manufacturing, erection, commissioning and sale of Circulating Fluidised Bed Combustion (CFBC)Boilers in India and in overseas territories except select countries",BHEL,Bharat Heavy Electricals Limited
1189,2022-12-23,"BSE cos erase almost entire mkt cap gained this quarter (Oct-Dec), in last three days. BSE cos’ mkt cap down nearly 6% from all-time high hit last week",BSE,BSE Limited
1200,2022-12-26,NTPC (@ntpclimited) signs MoU with #Tecnimont to explore Green #Methanol production,NTPC,NTPC Limited
1212,2022-12-27,NBCC bags order worth ₹69.3 crore from Odisha Power Transmission Corp,NBCC,NBCC (India) Limited
1218,2022-12-28,"DLF issues clarification, says have not received any notice from Noida Authority till now
Alert: There were reports of Noida Authority issuing notice to DLF demanding ₹235 cr",DLF,DLF Limited
1249,2022-12-29,"Tata Motors, HCL, Bajaj Finserv, Infosys, Adani Ports are top Nifty losers

Indiabulls HSG, RBL, AB Cap, Apollo Tyres, JSWPL are top Midcap gainers

Laurus, Amara Raja, IRCTC, Havells, LTI Mindtree are top Midcap losers",LTI,Larsen & Toubro Infotech Limited
1256,2022-12-30,Inox Green says CRISIL upgrades long-term rating to BBB+ from BBB,CRISIL,CRISIL Limited
1263,2022-12-30,IDBI Bank (@IDBI_Bank) signs agreement to #transfer IDBI MF #business to LIC MF,IDBI,IDBI Bank Limited
1264,2022-12-30,HPL Electric bags #order worth ₹161 crore,HPL,HPL Electric & Power Limited
1274,2023-01-02,"CONCOR in focus
CONCOR’s originating EXIM traffic growth has been lower than Railway EXIM traffic growth: Nomura",CONCOR,Container Corporation of India Limited
1281,2023-01-02,"NMDC (@nmdclimited) increases #LumpOre price by Rs 200 to Rs 4,300/tonne, & #Fines price by Rs 500 to Rs 3,410/tonne",NMDC,NMDC Limited
1295,2023-01-02,HFCL receives Purchase Orders aggregating to Rs 95.38 cr from Reliance Projects & Property Management Services for supply of #OpticalFiberCables to one of the leading private telecom operators of the country,HFCL,HFCL Limited
1300,2023-01-03,ONGC 'Sagar Samrat' starts Oil and Gas production in Arabian Sea,ONGC,Oil & Natural Gas Corporation Limited
1306,2023-01-03,"Adani Group decides to pay additional price for NDTV shares bought under open offer as transfer price for shares bought from another promoter (Inter-se) was higher than that of open offer price
Alert: NDTV open offer price was ₹294/sh and promoter transfer price was ₹342.65/sh",NDTV,New Delhi Television Limited
1315,2023-01-03,"Metal stocks see profit booking with Hindalco, JSW & Tata steel falling 1% each

TVS motor’s below than expected December sales lead to a 3% fall in the stock

M&M Fin slips while federal bank closes off highs after business updates for Q3",M&M,Mahindra & Mahindra Limited
1316,2023-01-03,NTPC starts India’s first green hydrogen blending #operation in PNG Network,NTPC,NTPC Limited
1324,2023-01-03,"HDFC Q3 Biz Update | @HomeLoansByHDFC assigned loans amounting to ₹8,892 crore compared to ₹7,468 crore YoY

Gross income from dividend for the quarter ended December 31, 2022 was ₹ 482 crore Vs ₹195 crore YoY",HDFC,Housing Development Finance Corporation Limited
1332,2023-01-04,"HDFC Bank Q3 advances up 19.5% YoY & up 1.8% QoQ, deposits rise 19.9% YoY & up 3.6% QoQ",HDFC,Housing Development Finance Corporation Limited
1342,2023-01-04,TCS bags order from Taiwan-based CTBC Bank to digitally transform its banking & wealth landscape,TCS,Tata Consultancy Services Limited
1366,2023-01-05,"No #unpaid interest/principal obligations at the end of October-December quarter, says HCC",HCC,Hindustan Construction Company Limited
1367,2023-01-05,"#MarketAtClose | Crude & rubber price fall lifts tyre stocks, Apollo Tyres jumps 6%

JBM Auto continues the gaining momentum on reports of big EV order wins

RBL Bank surges after reporting a strong set of updates for Oct-Dec qtr",RBL,Rane Brake Lining Limited
1372,2023-01-05,IDBI Bank (@IDBI_Bank) to write to #exchanges to classify government holding as #public after #divestment,IDBI,IDBI Bank Limited
1393,2023-01-07,"Multiple Expressions of Interest received for the Strategic Disinvestment of Government and LIC Stake in IDBI Bank, says @SecyDIPAM",IDBI,IDBI Bank Limited
1404,2023-01-09,#JustIn | M&M introduces a new range of the #Thar starting at ₹9.99 lakh,M&M,Mahindra & Mahindra Limited
1406,2023-01-09,"PVR (@_PVRCinemas) opens 3 #Multiplexes in #Jaipur, #Bengaluru and #Gurugram",PVR,PVR Limited
1412,2023-01-09,"IRB Infrastructure Developers | December total #toll collection up 6% at Rs 388 c Vs Rs 365.9 cr (MoM)
 
▶️December total toll collection up 31.9% at Rs 388 cr Vs Rs 294.1 cr (YoY)",IRB,IRB Infrastructure Developers Limited
1413,2023-01-09,"TCS (@TCS) reports Q3 earnings.

▶️Rupee #revenue up 1.3% at Rs 58,229 cr Vs CNBC-TV18 poll of Rs 57,475 cr",TCS,Tata Consultancy Services Limited
1414,2023-01-09,"TCS (@TCS) reports Q3 earnings.

▶️$ #revenue at $ 7,075 m Vs CNBC-TV18 poll of $6,990 m

▶️Constant Currency revenue growth at 2.2% Vs CNBC-TV18 poll of 1.4-1.5%",TCS,Tata Consultancy Services Limited
1415,2023-01-09,"TCS announces total #Dividend of Rs 75/sh, special dividend of Rs 67/sh & interim #dividend of Rs 8/sh",TCS,Tata Consultancy Services Limited
1447,2023-01-11,"CONCOR reports a minor increase in volumes YoY, while it’s fallen QoQ
🔴Total Q3 volumes up 5.18%, EXIM volumes up 0.6% YoY
🔴Total Q3 volumes down 5% & EXIM volumes down 11% QoQ",CONCOR,Container Corporation of India Limited
1448,2023-01-11,"Total #Q3 volumes up 5.18%, #EXIM volumes up 0.6% YoY, says CONCOR (@concor_india)",CONCOR,Container Corporation of India Limited
1482,2023-01-14,"M&M December 2022 production nearly doubles YoY. December 2022 production at 45,009 units Vs 24,970 units (YoY)",M&M,Mahindra & Mahindra Limited
1488,2023-01-16,#JustIN | TCS partners with UK-based Scotwest Credit Union to improve customer retention,TCS,Tata Consultancy Services Limited
1504,2023-01-17,"NTPC Renewable Energy signs #MoU with Tripura Govt for renewable energy #development 

@ntpclimited",NTPC,NTPC Limited
1526,2023-01-17,"ITC to acquire Sproutlife Foods Pvt Ltd, engaged in the manufacture and sale of healthy foods brand #YogaBar",ITC,ITC Limited
1529,2023-01-18,"HDFC Life seeks #IRDAI nod to enter indemnity health insurance market, may focus on critical illness products post approval, say sources",HDFC,Housing Development Finance Corporation Limited
1540,2023-01-18,"CCL Products (India) reports Q3 earnings.

▶️Net profit up 25% at Rs 73 Cr Vs Rs 58 cr (YoY)

▶️Revenue up 26.5% at Rs 535.3 Cr Vs Rs 423 cr (YoY)

▶️EBITDA up 8.9% at Rs 100.7 cr Vs Rs 92.4 cr (YoY)

▶️Margin at 18.8% Vs 21.8% (YoY)",CCL,CCL Products (India) Limited
1551,2023-01-19,Mining lease deed document executed between Karnataka Govt & KIOCL,KIOCL,KIOCL Limited
1560,2023-01-19,"PVR (@_PVRCinemas) reports Q3 earnings. 

▶️Cons net profit at Rs 16.1 cr Vs loss of Rs 10.2 cr (YoY)      

▶️Cons revenue up 53.2% at Rs 941 cr Vs Rs 614 cr (YoY)      

▶️EBITDA up 75.1% at Rs 288.8 cr Vs Rs 165 cr (YoY) 

▶️Margin at 30.7% Vs 26.9% (YoY)",PVR,PVR Limited
1578,2023-01-20,"DCM Shriram reports Q3 earnings.
 
▶️Net profit down 1.2% at Rs 342.1 cr Vs Rs 349.6 cr (YoY)

▶️Revenue up 21.2% at Rs 3,383.7 cr Vs Rs 2,790.8 cr (YoY)

▶️EBITDA down 6% at Rs 554.2 cr Vs Rs 588.7 cr (YoY)

▶️EBITDA margin at 16.4% Vs 21.1% (YoY)",DCM,DCM  Limited
1609,2023-01-23,"Market regains losses of last 2 sessions, led by it surge

Infosys & TCS are top Nifty contributors followed by HDFC & HDFC bank",HDFC,Housing Development Finance Corporation Limited
1614,2023-01-23,"IIFL Securities reports Q3 earnings.

▶️Net profit down 25.2% at Rs 64.5 cr Vs Rs 86.2 cr (YoY)

▶️Revenue up 1.8% at Rs 342 cr Vs Rs 336 cr (YoY)",IIFL,IIFL Finance Limited
1616,2023-01-23,"KEI Industries reports Q3 earnings.

▶️Net profit up 27.1% at Rs 128.6 cr Vs Rs 101.2 cr (YoY)

▶️Revenue up 14.1% at Rs 1,784.3 cr Vs Rs 1,563.8 cr (YoY)

▶️EBITDA up 16.2% at Rs 182.1 cr Vs Rs 156.7 cr (YoY)

▶️Margin at 10.2% Vs 10% (YoY)",KEI,KEI Industries Limited
1618,2023-01-23,"CONCOR Q3 | #3QWithCNBCTV18

Revenue up 3.6% At Rs 1,988.4 Cr Vs Rs 1,920 Cr (YoY)

EBIDTA up 14.1% at Rs 426.4 cr vs Rs 373.8 cr (YoY)

Profit up 3.5% at Rs 296.5 cr vs Rs 287 cr (YoY)

Margin at 21.4% vs 19.5% (YoY)",CONCOR,Container Corporation of India Limited
1621,2023-01-23,"HFCL Q3 reports #Q3 earnings 

⭕️ Profit up 22.7% at Rs 96.1 cr vs Rs 78 cr (YoY)

⭕️ Revenue down 10.6% at Rs 1,085.8 vs Rs 1 215.2 cr (YoY)

⭕️ EBIDTA up 10% at Rs 187.6 cr vs Rs 170.6 cr (YoY)

⭕️ Margin at 17.3%  vs 14%(YoY)",HFCL,HFCL Limited
1624,2023-01-23,"NTPC completes trial operation of Unit-1 of 660 MW capacity of North Karanpura Super Thermal Power Project, (3 x 660 MW). 

It is now included in the installed capacity of NTPC Limited",NTPC,NTPC Limited
1652,2023-01-24,"PNB Housing Finance reports #Q3 earnings 

▶️ Net #Profit up 42.8% at ₹269.1 cr vs ₹188 cr (YoY)    

▶️ #Revenue up 20.1% at ₹1,796.5 cr vs ₹1,495.3 cr (YoY)    

#Q3FY23 #Q3Results #earnings",PNB,Punjab National Bank
1656,2023-01-24,"PVR surges ahead of Pathaan movie release, stock closes nearly 4% higher

Tata Motors closes with a gain of over 3% ahead of its earnings tomorrow",PVR,PVR Limited
1687,2023-01-26,SJVN sells its entire stake in Bhutanese JV Kholongchhu Hydro Energy for Rs 354.7 cr,SJVN,SJVN Limited
